First Index,Content Function Ratio,Lexical Frequency,Word Length
2,0.0,-4.203575783784593,1.5
3,-1.0,-3.043576866414613,1.5
0,0.0,-2.9720561144727027,1.5
1,0.0,-3.733459886286338,1.5
4,0.0,-2.381229909483725,1.5
1,1.0,-3.7995185469040496,2.0
2,0.0,-2.6569900620602662,1.5
0,0.0,-4.26262543982359,1.5
4,0.0,-2.9899138906059695,1.0
3,-1.0,-2.0519592358435195,1.0
2,0.0,-3.6176081341423316,1.5
0,1.0,-4.058293502791685,2.0
3,0.0,-2.58633823349939,1.5
4,0.0,-2.2307360031228747,1.5
1,-1.0,-3.2248519591273253,1.5
0,0.0,-2.776647039985717,1.0
2,1.0,-3.810233867317896,1.0
3,1.0,-2.849790695735625,1.0
1,1.0,-2.7921183179708056,1.0
4,0.0,-2.637419250978608,1.5
0,1.0,-3.703575783784593,2.0
1,1.0,-3.0439483758995025,1.0
3,-1.0,-2.846760521184332,1.0
2,0.0,-3.4763348391573468,2.0
4,1.0,-4.864685431151552,2.0
1,0.0,-2.682879441205481,1.5
4,0.0,-3.3566913784594874,2.0
3,1.0,-2.8068801753144026,1.0
2,0.0,-2.526658868825617,1.5
0,1.0,-3.826911950455287,1.5
4,1.0,-4.249460970462415,2.0
2,1.0,-3.898702373787467,1.5
1,1.0,-3.2429183802355213,1.5
0,1.0,-4.165715426815534,2.0
3,1.0,-3.561226168177407,1.5
0,0.0,-3.0039862433908002,1.5
1,1.0,-2.517751636986734,1.0
4,1.0,-3.843004292140988,2.0
3,1.0,-3.561226168177407,2.0
2,0.0,-2.811420004240362,1.5
1,1.0,-3.2117411660093977,1.5
0,0.0,-4.157198757166143,2.0
3,-1.0,-2.585271168743047,1.0
2,1.0,-3.4327267426726227,1.5
4,1.0,-4.563655435487572,2.0
1,0.0,-3.0082974653132473,1.5
0,1.0,-4.214170433319562,2.0
4,0.0,-2.4068061707074158,1.5
2,1.0,-4.714170433319562,2.0
3,1.0,-3.195905887337185,1.5
3,1.0,-2.2782089173783753,1.0
0,1.0,-3.586534180767909,1.5
1,1.0,-3.7559434590445995,2.0
2,1.0,-3.391951138585643,1.5
4,0.0,-2.5399401154098005,1.5
0,-1.0,-2.070858005653694,1.0
1,0.0,-3.770925070733321,1.5
3,0.0,-3.5444447126663414,1.5
2,0.0,-2.4463967937312283,1.5
4,1.0,-2.265797125515859,1.5
0,0.0,-4.026338626339119,1.5
4,0.0,-2.8226655408175763,1.0
1,1.0,-3.092403382403531,1.5
3,0.0,-3.6176081341423307,1.0
2,0.0,-2.969296630482706,1.5
1,0.0,-3.139445403848523,1.0
3,1.0,-3.2481873759554754,1.5
0,-1.0,-2.634793240003418,1.0
2,1.0,-4.413140437655581,2.0
4,1.0,-3.3769695268969215,1.0
4,1.0,-4.515200428983543,2.0
2,0.0,-1.4751447406471874,1.0
0,-1.0,-1.9211313468247944,1.0
3,1.0,-4.183821513142756,1.5
1,0.0,-2.308186983115746,1.0
1,-1.0,-2.428461607257046,1.0
0,0.0,-3.3309640097633624,1.5
2,0.0,-2.527236498156028,1.0
3,-1.0,-2.662161735328505,1.5
4,1.0,-3.12779601382819,1.0
1,0.0,-2.756312264346565,1.5
2,0.0,-3.3326437131697544,1.5
0,1.0,-4.714170433319563,2.0
4,1.0,-4.219668125470294,2.0
3,1.0,-4.626124803791722,2.0
3,0.0,-3.121824717910763,1.5
2,1.0,-3.7766398016237117,2.0
1,1.0,-4.387564176431891,2.0
4,0.0,-3.5375971602125724,1.5
0,1.0,-4.126124803791721,2.0
1,0.0,-3.3616664536528944,1.0
0,0.0,-2.6197905368435563,1.5
3,1.0,-2.9902040005234722,1.5
4,1.0,-4.045440802674234,2.0
2,0.0,-2.738866320927447,1.5
4,0.0,-3.5200310015897425,1.5
0,0.0,-2.738866320927447,1.5
2,-1.0,-2.652898671285185,1.0
1,1.0,-3.6384088995370902,1.5
3,0.0,-2.1629861721629924,1.0
1,1.0,-3.4458912120337972,2.0
4,1.0,-2.328534742453198,1.0
2,1.0,-4.028636502183694,2.0
0,0.0,-3.3583722556745275,1.5
3,0.0,-3.1551207772805654,2.0
1,0.0,-4.165715426815534,1.0
4,0.0,-2.6197905368435563,1.5
2,1.0,-3.3083829303842656,1.5
0,0.0,-2.8510106272641744,1.5
3,1.0,-4.017382831684769,2.0
0,1.0,-2.7307360031228747,1.5
1,0.0,-3.4552427238545476,1.5
4,0.0,-3.7788222043249373,1.5
2,1.0,-3.8540907816165833,1.5
3,0.0,-3.472376784835115,1.5
0,0.0,-2.8059254979586723,1.5
1,1.0,-4.563655435487572,1.5
4,1.0,-2.9163121233478497,1.5
3,1.0,-3.5459405663952976,2.0
2,0.0,-2.9433808113462714,1.0
1,0.0,-2.8626968102287846,1.5
2,0.0,-3.0969117915632185,1.5
0,0.0,-3.2769295244698293,1.5
3,1.0,-3.4421364111444244,1.5
4,1.0,-4.214170433319562,1.5
0,0.0,-3.251901574431818,2.0
2,0.0,-2.748950635936212,1.5
3,0.0,-2.8583511642033876,1.5
4,1.0,-5.015200428983543,2.0
1,1.0,-4.115530154256753,2.0
4,0.0,-2.2451683984568174,1.0
0,1.0,-2.450942637973589,1.0
3,0.0,-2.2674504617021416,1.5
2,1.0,-3.0155916462184917,1.5
1,0.0,-2.3979417872272,1.5
0,1.0,-4.714170433319563,2.0
3,1.0,-3.965015156424762,1.5
2,0.0,-2.8538427550436993,1.5
1,-1.0,-2.823831796102878,1.0
4,1.0,-3.312271229324725,2.0
1,1.0,-3.2615424089453366,2.0
0,0.0,-3.019365925293569,1.0
3,1.0,-2.60168712198937,1.5
2,1.0,-3.4327267426726227,2.0
4,0.0,-3.4421364111444244,1.5
2,0.0,-3.069571120531474,1.0
0,1.0,-4.4756098059597305,2.5
1,1.0,-2.674851414134726,1.0
3,1.0,-3.094020642318206,2.0
4,0.0,-3.942136411144424,1.0
0,0.0,-4.028636502183694,2.0
2,1.0,-2.188466816401865,1.0
3,1.0,-3.6974585555760875,1.5
1,1.0,-3.564198983308179,2.0
4,1.0,-2.824462383846028,1.5
1,1.0,-3.5130397420922224,1.5
2,1.0,-3.121824717910763,1.0
0,0.0,-2.774852096806304,1.5
4,1.0,-4.665715426815534,2.0
3,0.0,-2.7709744279879827,1.5
1,0.0,-3.1289662274569032,1.0
2,-1.0,-2.4902427111467946,1.0
3,0.0,-2.029256487056898,1.0
0,1.0,-3.0573422600105467,1.5
4,1.0,-3.2117411660093977,1.5
3,0.0,-2.2114857857421466,1.0
0,1.0,-4.626124803791722,2.0
2,0.0,-4.080584569118055,1.5
4,1.0,-3.7088085006236753,2.0
1,0.0,-3.3043984655486276,1.5
2,0.0,-2.37413078139756,1.5
4,1.0,-3.5227118657757965,1.5
1,0.0,-3.6885941720958715,2.0
3,0.0,-2.112670317286251,1.5
0,0.0,-2.9637778468608342,1.5
2,0.0,-2.7121764332709666,1.5
1,0.0,-2.747426789395209,1.5
0,-1.0,-3.0449421865172592,1.5
3,1.0,-4.626124803791722,2.0
4,-1.0,-2.6613770242140187,1.0
3,0.0,-4.19347409074045,1.5
2,1.0,-4.714170433319562,2.0
0,1.0,-3.492538939590214,1.0
4,0.0,-3.230396445210131,1.5
1,1.0,-2.1462528202065894,1.0
2,0.0,-2.5926327971534002,1.5
0,1.0,-3.287777998979288,2.0
