pair,feature,t-stat,p-value
"(4, 10)",Lexical Frequency,-0.43918519660313393,0.6608624927593518
"(4, 10)",Word Length,-0.2635694156772749,0.7923035370789172
"(4, 12)",First Index,0.6981941214464287,0.4856726575190258
"(4, 12)",Content Function Ratio,0.3580105540665416,0.7206225817091818
"(4, 12)",Lexical Frequency,-0.18685029292810393,0.8519220681082691
"(4, 12)",Word Length,-0.44315031895160617,0.6580213094365828
"(5, 6)",First Index,1.143587215439002,0.2534431645879088
"(5, 6)",Content Function Ratio,-0.9934046405673373,0.32108206120402477
"(5, 6)",Lexical Frequency,0.7702848068644991,0.4415619644142379
"(5, 6)",Word Length,0.12463265341009624,0.90087372208748
"(5, 8)",First Index,1.0146861055343555,0.31116725363313746
"(5, 8)",Content Function Ratio,0.06948975134776839,0.9446514185684565
"(5, 8)",Lexical Frequency,0.1839373174655555,0.8542012069060454
"(5, 8)",Word Length,-0.4277928284169006,0.6691442322096344
"(5, 10)",First Index,0.6835384435742019,0.4948572017987244
"(5, 10)",Content Function Ratio,0.6346809943479492,0.526177923864882
"(5, 10)",Lexical Frequency,-0.38621171439393287,0.6996463091456229
"(5, 10)",Word Length,-0.5130823903968751,0.6083163611512845
"(5, 12)",First Index,0.6950143683520394,0.4876969563964826
"(5, 12)",Content Function Ratio,0.45818732773683907,0.6472190852385353
"(5, 12)",Lexical Frequency,-0.1120013380475208,0.910912943874854
"(5, 12)",Word Length,-0.7060413229452959,0.480825163009151
"(6, 8)",First Index,0.16465497590914768,0.8693204995380459
"(6, 8)",Content Function Ratio,0.9682726057550018,0.3336464009454603
"(6, 8)",Lexical Frequency,-0.43466943511012207,0.6640981275284552
"(6, 8)",Word Length,-0.5943919079567195,0.5526739912730888
"(6, 10)",First Index,-0.16209691324684003,0.8713331346752191
"(6, 10)",Content Function Ratio,1.7446069890790394,0.08202551830802245
"(6, 10)",Lexical Frequency,-1.104739507311702,0.27011293191944796
"(6, 10)",Word Length,-0.6875600788809517,0.4922341885966348
"(6, 12)",First Index,-0.07041142118812739,0.9439137474457637
"(6, 12)",Content Function Ratio,1.4118677921398084,0.15903925651449585
"(6, 12)",Lexical Frequency,-0.7237333283601189,0.46980103426013786
"(6, 12)",Word Length,-0.8938240749499082,0.3721421837605975
"(8, 10)",First Index,-0.2706652657780717,0.7869909201272376
"(8, 10)",Content Function Ratio,0.576809919014637,0.5648636019859649
"(8, 10)",Lexical Frequency,-0.5862249747528079,0.558535247764379
"(8, 10)",Word Length,-0.09202759052493711,0.9267891232148288
"(8, 12)",First Index,-0.18845702679717222,0.8507855821593377
"(8, 12)",Content Function Ratio,0.412986109703689,0.6802353709732695
"(8, 12)",Lexical Frequency,-0.303170243477498,0.7622007294020425
"(8, 12)",Word Length,-0.31708525328844034,0.7516413810783127
"(10, 12)",First Index,0.06407510443115028,0.9490005367657648
"(10, 12)",Content Function Ratio,-0.1121864334951756,0.9108340173679004
"(10, 12)",Lexical Frequency,0.26676914024759624,0.7900339274351369
"(10, 12)",Word Length,-0.22667756781919815,0.8210004605280519
