First Index,Content Function Ratio,Lexical Frequency,Word Length
0,0.0,-3.685235063864851,3.5
3,0.0,-2.7611599677158747,4.0
0,0.0,-3.7644968174935887,5.0
3,0.0,-3.6914830013055893,4.0
0,0.0,-3.2690774785717824,4.5
4,0.0,-3.1456444408410382,3.5
0,0.0,-3.2016851324833233,3.5
3,0.0,-3.0593471279871167,3.0
2,0.0,-3.3110278326347435,3.0
0,0.0,-4.2098074907097605,3.0
2,0.0,-3.0952871071054124,3.0
0,0.0,-3.709807490709761,3.0
3,0.0,-2.880260687086842,3.0
2,0.0,-2.676108871259633,3.5
4,0.0,-3.81192211714707,5.0
1,0.0,-3.3472705182162623,3.0
4,0.0,-3.3472705182162623,5.0
1,0.0,-2.6483005138802436,3.0
4,0.0,-2.7742065003771432,3.0
4,0.0,-2.7012711242722087,4.0
0,0.0,-3.6370363215204913,4.0
4,0.0,-3.5240412233303005,4.5
1,0.0,-2.8076798951924498,3.5
0,0.0,-3.2644968174935887,3.5
4,0.0,-3.1725453166706554,3.5
4,0.0,-3.6390973955521204,3.0
2,0.0,-3.127355290575427,4.5
3,0.0,-4.3445229955059,5.0
1,0.0,-2.0403496072782277,3.5
3,0.0,-4.048958133743703,3.0
2,0.0,-2.760864328131812,3.0
0,0.0,-3.0027151281473046,4.5
2,1.0,-3.66129786283934,5.0
4,0.0,-2.696700870716024,4.0
4,1.0,-4.5719454255101555,5.0
0,1.0,-4.496311587844831,5.0
4,0.0,-2.583290582778677,4.5
0,0.0,-2.417584270449826,3.0
1,0.0,-3.3472705182162623,3.0
2,0.0,-3.1121710460257317,3.5
3,0.0,-2.8396807810719853,4.0
3,0.0,-2.540575485116364,3.0
2,0.0,-2.3703062166425366,3.0
4,0.0,-2.50489753084853,4.5
0,0.0,-3.09718943433701,3.5
3,0.0,-2.9113793259638037,4.0
2,1.0,-4.120400432014184,5.0
2,1.0,-4.0737625678377025,5.0
3,1.0,-4.904049374548558,4.5
4,1.0,-4.378844622809759,4.5
0,1.0,-4.165488747188727,4.5
2,0.0,-2.4884202388407983,3.0
1,1.0,-3.1831595231644503,4.5
3,0.0,-3.113639502955483,3.5
0,1.0,-3.5191903331251684,4.5
2,0.0,-2.9779877481851607,3.0
4,1.0,-4.245339168622484,3.0
4,0.0,-3.008325515914974,4.0
3,0.0,-2.79195622385212,3.0
2,1.0,-3.0550727575031686,3.5
0,1.0,-4.377362383327889,5.0
2,0.0,-3.749152425710812,4.5
4,1.0,-3.869956443675478,4.5
