First Index,Content Function Ratio,Lexical Frequency,Word Length
9,0.8,-4.026164547672538,5.5
0,0.6,-4.130559616769641,7.4
9,0.2,-3.923638887857945,7.4
0,0.6,-4.225896262756869,5.9
1,0.8,-4.197165029529229,6.8
1,0.6,-3.8592643174486567,7.1
0,1.0,-4.070176546500781,6.3
0,0.4,-3.6110421935787294,6.2
2,0.8,-4.2736777389454605,6.4
2,0.6,-3.3430335562808997,5.1
5,0.8,-3.7789982134570494,5.6
5,0.2,-3.4718855222141762,5.1
3,0.8,-4.341975596199608,8.1
19,0.8,-3.874187445862005,5.4
6,0.8,-3.8840677410439746,6.2
7,0.8,-4.252688492312893,6.6
7,0.6,-3.961753035391434,7.2
4,0.8,-4.158992029138649,7.4
9,0.2,-3.8170169323942162,5.1
7,-0.2,-3.1213298662056377,4.2
5,0.6,-3.639107933259088,5.9
6,0.6,-3.8663161887236646,6.6
3,0.8,-3.7502603348695773,7.1
0,0.2,-4.192076128769683,7.1
0,0.6,-4.49277537831888,6.6
20,0.4,-3.844798885198567,4.8
9,0.2,-3.7225945597010743,6.7
9,0.4,-3.91286649267427,5.5
7,0.6,-4.355916450688201,7.4
8,0.8,-3.7423712931348425,6.0
0,0.2,-3.8008392295538393,6.0
8,0.8,-3.9639247572356275,7.3
7,1.0,-4.34234307561088,7.5
0,0.6,-3.7810472990244364,6.1
1,1.0,-4.033014571608323,6.0
18,1.0,-4.283307322573446,7.3
40,0.4,-3.354147355697453,4.6
2,0.4,-3.6296794329610207,5.3
3,0.8,-3.9252039642854277,6.3
7,0.8,-4.00595645992755,6.7
11,0.8,-4.515595196441505,7.8
7,0.6,-4.175194833821511,5.3
0,0.4,-3.9304419166117506,5.3
5,0.8,-4.0486226796319125,5.9
10,0.6,-3.2764137221098286,5.8
9,0.4,-3.2793920005469746,4.9
5,0.6,-3.500203993942576,4.5
3,0.8,-4.145202240104894,7.0
9,1.0,-4.018347511737823,6.7
12,0.8,-3.9087982573746336,5.8
17,1.0,-4.041723608850615,6.7
10,0.6,-4.29724757819181,5.8
17,0.4,-3.5822893612016182,6.6
3,0.6,-3.6841382865992927,5.1
0,0.6,-4.393872191935009,6.7
4,0.2,-3.777460095036345,6.4
13,0.8,-4.117280512538347,5.9
1,1.0,-4.062466413211277,6.2
3,1.0,-4.208237305158339,6.8
4,0.2,-3.4643413399348795,5.6
0,0.6,-4.078807272475899,6.5
15,0.0,-3.2847682529608497,5.3
4,1.0,-4.307778056980803,7.3
33,-0.4,-3.175794129638745,4.4
3,0.2,-3.797904231360466,6.7
9,0.4,-3.6698252201521293,5.1
10,0.6,-3.8602559292323804,5.8
10,0.4,-3.6625308676885773,5.8
8,0.8,-3.973961571212837,7.1
5,0.6,-4.027483622518997,8.2
8,0.6,-3.974021255573831,6.5
4,0.2,-3.7499097051806016,5.9
