pair,feature,t-stat,p-value
"(4, 6)",Word Length,-1.1790164826393634,0.23917459325554766
"(4, 8)",First Index,-0.9779531349346792,0.3292017395803195
"(4, 8)",Content Function Ratio,0.8321879245854529,0.40623056609338104
"(4, 8)",Lexical Frequency,-2.326390280332758,0.02093325448851744
"(4, 8)",Word Length,0.0,1.0
"(4, 10)",First Index,-4.827434063586541,2.62988283091381e-06
"(4, 10)",Content Function Ratio,0.41152138809244404,0.6811021088424238
"(4, 10)",Lexical Frequency,-2.936192458373497,0.003685862212721156
"(4, 10)",Word Length,0.3258211647377459,0.7448780359916605
"(4, 12)",First Index,-2.782216316491319,0.005943580554321161
"(4, 12)",Content Function Ratio,1.9252174071051436,0.055695460565139535
"(4, 12)",Lexical Frequency,-3.0711489498171516,0.0024451079171602563
"(4, 12)",Word Length,-0.6476229081736328,0.5180106343988069
"(5, 6)",First Index,-0.29567800943183037,0.7676474154482753
"(5, 6)",Content Function Ratio,1.802782060835375,0.07226328529612619
"(5, 6)",Lexical Frequency,-2.097554770429451,0.03664526008887159
"(5, 6)",Word Length,0.6268228429758679,0.5311748822630413
"(5, 8)",First Index,1.282484333740051,0.2010602268605241
"(5, 8)",Content Function Ratio,2.151543515408101,0.03255340526897143
"(5, 8)",Lexical Frequency,-2.797769683350984,0.005615045570092085
"(5, 8)",Word Length,1.4293406141396596,0.15436450582586578
"(5, 10)",First Index,-2.2891099294131187,0.023048557012503235
"(5, 10)",Content Function Ratio,1.6718697937410596,0.09601149494189386
"(5, 10)",Lexical Frequency,-3.5165405779408014,0.0005337099552748208
"(5, 10)",Word Length,1.7975567805754387,0.07365700431688377
"(5, 12)",First Index,-0.5547125482616011,0.5797436904432816
"(5, 12)",Content Function Ratio,3.384521225052309,0.0008661365872051973
"(5, 12)",Lexical Frequency,-3.716935996409589,0.0002651839123897711
"(5, 12)",Word Length,0.5580895637472559,0.5774402456485147
"(6, 8)",First Index,1.3570781723467364,0.17582640286543838
"(6, 8)",Content Function Ratio,0.8076366084068562,0.4199710033350824
"(6, 8)",Lexical Frequency,-1.3360560032044595,0.18259306273036882
"(6, 8)",Word Length,1.0375637716977706,0.30034961222368456
"(6, 10)",First Index,-1.8995574360151577,0.05849713624184884
"(6, 10)",Content Function Ratio,0.293082697084418,0.7696714803275474
"(6, 10)",Lexical Frequency,-2.119424921677317,0.034916042151027143
"(6, 10)",Word Length,1.4281418152443668,0.15434212578287507
"(6, 12)",First Index,-0.29316460523987525,0.7696284039144781
"(6, 12)",Content Function Ratio,2.165198310587355,0.03127528206438537
"(6, 12)",Lexical Frequency,-2.5678541206926697,0.010788205837285304
"(6, 12)",Word Length,0.14699305015731068,0.8832505521568741
"(8, 10)",First Index,-3.146192561967248,0.002015550880792793
"(8, 10)",Content Function Ratio,-0.45922817193138654,0.6467725389034847
"(8, 10)",Lexical Frequency,-0.7796832331959822,0.436874926750525
"(8, 10)",Word Length,0.38563091792248655,0.7003471273205224
"(8, 12)",First Index,-1.6415559368115822,0.10334472788905028
"(8, 12)",Content Function Ratio,1.4582632084848406,0.1474245393612663
"(8, 12)",Lexical Frequency,-1.6164671148232774,0.10866378387501666
"(8, 12)",Word Length,-0.8277312325657489,0.40949361792839567
"(10, 12)",First Index,1.2665231902690164,0.2078202043795609
"(10, 12)",Content Function Ratio,1.947536860007789,0.05384577201940982
"(10, 12)",Lexical Frequency,-0.9053948864655827,0.3671011675109218
"(10, 12)",Word Length,-1.26049843656815,0.20997645307440643
