pair,feature,t-stat,p-value
"(6, 8)",Word Length,1.7291683275720222,0.0854032066855512
"(6, 10)",First Index,-0.42167072739179334,0.6738313544961589
"(6, 10)",Content Function Ratio,1.8046699320095574,0.07300690309624996
"(6, 10)",Lexical Frequency,-0.443899303291069,0.6577151310442952
"(6, 10)",Word Length,0.8544230291980139,0.39414813498374246
"(6, 12)",First Index,0.2858772578631445,0.7753639358029044
"(6, 12)",Content Function Ratio,1.8186851020993537,0.07094095322747408
"(6, 12)",Lexical Frequency,-1.444942346064357,0.15054607851262686
"(6, 12)",Word Length,0.6188882899093238,0.5369224981557053
"(8, 10)",First Index,-0.18812882747378004,0.8511286920358409
"(8, 10)",Content Function Ratio,-0.06265757934173007,0.9501549938893612
"(8, 10)",Lexical Frequency,-0.43056583712977337,0.6676421268939223
"(8, 10)",Word Length,-0.5715499608532828,0.5688144943379884
"(8, 12)",First Index,0.43266970098605406,0.6661958291065024
"(8, 12)",Content Function Ratio,0.11002939289803655,0.9126088004668529
"(8, 12)",Lexical Frequency,-1.4297431164831047,0.1559390065778062
"(8, 12)",Word Length,-0.7253639795957469,0.4699399111534194
"(10, 12)",First Index,0.5330758465034295,0.5956939276544762
"(10, 12)",Content Function Ratio,0.23089100466615653,0.8180827386484768
"(10, 12)",Lexical Frequency,-1.1764743123011323,0.24344824198617757
"(10, 12)",Word Length,-0.1903502266529172,0.849593620879014
