First Index,Content Function Ratio,Lexical Frequency,Word Length
0,1.0,-5.015579970234881,8.0
0,0.5,-4.222660543096962,5.5
12,1.0,-4.732996528111129,8.25
0,0.5,-4.178228207329633,6.25
0,0.5,-4.051978154197624,5.0
0,1.0,-4.6958915699966735,7.25
0,0.5,-4.727763051402218,5.75
5,1.0,-4.204201803281343,6.25
0,0.5,-3.5724878064998746,5.25
2,1.0,-4.531535342894483,7.5
0,1.0,-4.787568762823663,8.0
0,0.5,-4.399980470760142,7.0
2,0.5,-3.238036958192934,5.25
0,0.5,-4.809602784998801,6.0
4,1.0,-3.78668604559988,6.75
0,0.5,-4.153248946960199,5.25
0,1.0,-4.657739029195134,4.75
0,0.0,-4.9025055524862236,7.0
1,0.5,-3.082748517098307,5.75
0,1.0,-4.4887774778229135,9.25
2,1.0,-5.210117782830792,6.25
1,0.5,-3.5205079051871144,5.75
3,0.5,-4.338510163117183,4.0
2,1.0,-3.608720070622036,6.0
9,0.0,-4.0633585033949275,5.0
1,0.0,-3.594638154878553,6.25
0,1.0,-4.68079995891685,5.75
0,1.0,-4.940322471318885,7.0
3,1.0,-3.1320363778715135,3.25
1,0.5,-4.606374445838087,6.5
3,0.0,-4.220787808616956,6.25
0,1.0,-4.794428324910398,7.75
1,1.0,-3.9922508199337976,7.25
0,0.5,-4.984345286082806,4.25
7,0.0,-4.256323000295937,6.0
0,0.5,-4.202245468903354,7.5
5,1.0,-3.780031435395869,5.5
10,0.5,-4.266015135628956,6.0
15,0.0,-2.795370375787833,4.75
4,0.5,-3.6954239973566523,5.75
2,1.0,-4.574100771743223,7.75
4,1.0,-4.840837469150876,9.75
0,1.0,-5.210117782830792,6.0
1,0.5,-4.182638817074843,4.5
17,0.0,-3.410419157786892,4.5
0,0.5,-3.9806692220774362,5.5
3,0.5,-3.6112774465955226,5.75
0,0.0,-4.267588959134016,5.75
5,1.0,-4.183103439384828,6.75
0,0.5,-4.173276005882345,5.5
13,1.0,-4.307027795838848,6.75
0,0.5,-4.127235653113619,7.25
3,1.0,-4.295949521359579,7.0
5,0.5,-4.532800292586834,7.5
0,0.5,-4.485436487433418,6.25
0,1.0,-4.355957655996221,7.5
0,1.0,-5.210117782830792,9.25
6,0.5,-3.9695775578095605,8.75
0,0.0,-3.7400699278325833,5.0
8,1.0,-4.374314885285854,7.25
5,1.0,-3.6314466721953007,5.0
0,-0.5,-4.685025146551401,8.0
0,0.5,-3.9150605003957226,5.5
9,0.0,-3.412170383179056,4.5
0,1.0,-4.651235671103905,5.75
2,1.0,-4.093119617950505,5.0
0,1.0,-4.729047961315321,7.0
5,-0.5,-2.9922132537892385,3.5
2,0.0,-3.078375594134593,5.0
6,1.0,-4.536466483097399,6.75
7,1.0,-4.086631345734004,6.75
0,0.5,-4.109221845239119,7.25
0,0.5,-4.97155715547096,8.25
2,1.0,-4.5240445370501225,6.5
2,1.0,-3.9670832794634574,6.0
0,0.5,-4.164771234059987,6.0
2,1.0,-3.454497080519042,7.0
3,0.5,-3.910549758213455,5.5
0,0.5,-4.720357434750518,4.75
6,1.0,-4.582146942586073,7.75
2,0.5,-3.1661918589560996,6.5
1,0.0,-2.8093353466918165,4.25
5,0.5,-4.110806637578195,6.0
4,1.0,-4.325474349379078,9.75
0,1.0,-4.3285329634833305,7.75
0,1.0,-4.771149068912669,7.25
0,0.0,-3.5579809261140136,4.5
