First Index,Content Function Ratio,Lexical Frequency,Word Length
3,1.0,-4.413880955351121,7.8
1,0.6,-3.653942577687217,5.4
4,1.0,-3.956139015725639,6.2
2,1.0,-4.580892175695144,6.0
0,0.6,-3.6912269851906876,6.0
4,0.6,-3.5874897225584235,5.4
1,1.0,-4.811872567692292,10.0
2,1.0,-4.363214326128254,8.6
3,0.6,-3.747853047761592,5.0
0,1.0,-4.7146935318868595,7.0
3,1.0,-4.3917843913116545,6.8
2,1.0,-4.514780434241663,7.0
1,0.6,-4.2201597910479,6.6
4,0.6,-4.417814580541002,7.2
1,1.0,-3.906865828715822,6.8
0,1.0,-3.5564689869097625,5.2
2,0.6,-3.9583673457153212,6.6
3,0.6,-3.909314349818024,6.8
2,1.0,-3.939816188932748,6.2
1,1.0,-4.420905970753767,7.0
4,0.6,-3.485377091385723,5.8
0,0.2,-4.216983388586771,7.2
3,0.6,-3.825599157651754,6.2
0,0.6,-3.8108815984200817,4.6
4,0.6,-3.870181276620626,6.4
2,0.6,-3.739645153421267,7.8
1,0.2,-4.342362757844077,7.2
3,1.0,-4.069717887852864,6.0
4,0.6,-4.093974517345553,5.6
3,0.6,-4.36058203691666,7.2
1,0.6,-4.873869535355675,6.4
2,1.0,-3.990332027113724,4.6
0,0.6,-4.278783173653822,6.2
3,1.0,-4.5523785307127405,6.6
4,0.2,-3.3730714727971405,5.8
4,0.2,-3.934078357448476,5.2
0,0.6,-4.53494849556896,6.6
3,1.0,-3.6160800322114133,5.6
1,1.0,-4.648881788034014,7.4
2,-0.2,-3.4580814700046516,6.0
4,1.0,-4.276351177148195,7.6
0,1.0,-4.043525611897344,6.0
2,0.6,-3.826310536700889,6.8
1,0.2,-4.3924196887943125,7.6
3,0.6,-4.371554131421133,7.8
4,0.6,-4.296995437850381,7.8
2,-0.2,-4.252359709406737,6.4
0,-0.2,-4.135249513256477,7.0
1,0.6,-3.8544930919013263,5.6
3,0.6,-3.925152885058695,6.6
3,1.0,-4.438675414367413,8.0
4,1.0,-3.9871782426214564,5.4
0,0.2,-4.151708235369478,7.4
1,0.2,-3.982377937759268,6.2
2,0.2,-3.3828868498740006,5.4
0,1.0,-4.327996074317118,4.2
3,1.0,-4.300612067538835,5.2
2,0.6,-3.4675198296714007,5.4
0,0.6,-4.0683860219226915,5.2
1,0.6,-3.7327132514832817,8.6
2,0.6,-3.933091374029556,6.6
3,0.6,-4.512831687059905,8.2
2,0.6,-3.996145107922576,7.4
0,0.6,-4.068481209763869,4.8
3,1.0,-4.277891601946603,7.4
