First Index,Content Function Ratio,Lexical Frequency,Word Length
0,0.0,-3.3786171849817506,1.4
1,0.4,-3.352406626313358,1.9
4,0.4,-3.1446582318900065,1.6
3,0.4,-3.1220006592229,1.5
2,0.0,-3.7423659659532804,1.7
2,0.4,-4.084658363143686,1.9
1,0.6,-3.5499957399535362,1.8
0,0.4,-3.6142953364006276,1.5
3,0.4,-3.0717290081106032,1.5
4,0.4,-3.6279130855563837,1.7
1,0.6,-3.4752440456282394,1.4
4,0.6,-3.163125805861248,1.8
2,0.2,-3.2775035860701207,1.5
3,0.4,-2.7061218032057472,1.2
0,0.4,-2.8802316697886594,1.3
4,0.2,-3.451205331381663,1.8
3,0.6,-3.382284639969874,1.7
2,0.4,-3.208280748828919,1.5
0,0.6,-3.270048739598727,1.8
1,0.0,-3.297148273316477,1.8
2,0.6,-3.6650151564247615,1.7
1,0.4,-3.254038392603065,1.6
0,0.2,-3.2838093358629314,1.5
3,0.6,-3.5311436966556675,1.7
4,0.4,-2.978014085043644,1.5
1,0.2,-2.8789107744091282,1.5
0,0.2,-2.8733863796851518,1.6
2,0.4,-3.51306543102491,1.6
3,0.2,-3.084167999384133,1.4
4,0.0,-2.859251470590363,1.6
0,0.6,-3.4509481246725735,1.6
2,0.4,-3.432717887533959,1.7
4,0.0,-2.974557481830608,1.5
3,0.2,-3.2490452365884144,1.4
1,-0.2,-3.571275354543533,1.4
2,0.2,-3.955697256256987,1.6
0,0.2,-4.310369613591892,1.6
1,0.4,-3.554343614950363,1.7
3,0.2,-3.563420381880384,1.9
4,0.6,-3.381557687043929,1.7
0,0.4,-3.087464786562953,1.7
1,0.6,-3.5283010948560736,1.8
4,0.2,-3.1085888438680014,1.4
3,0.4,-3.4260381301065324,1.9
2,0.2,-3.236049350865515,1.3
0,0.4,-3.5754914168905456,1.7
1,0.2,-3.3525192171469045,1.5
3,0.0,-3.1723687433705554,1.4
2,0.4,-3.638807687946129,1.5
4,0.6,-3.1151502347757054,1.5
0,0.2,-3.3482607868328187,1.4
4,0.2,-3.645463291220841,1.6
3,0.4,-3.743741420515646,1.7
2,0.2,-3.1865597407650608,1.4
1,0.2,-3.6849849219791815,1.6
2,-0.2,-2.4581087721188024,1.4
4,0.2,-3.2004069336615886,1.8
0,0.0,-2.980690087592097,1.6
3,0.2,-3.0697266159517023,1.5
1,0.4,-3.1687983342096224,1.6
0,-0.2,-3.1832268455938797,1.1
1,0.2,-3.8737645781969965,1.4
4,0.0,-3.165399934865893,1.3
3,0.4,-3.2179974918662166,1.6
2,0.0,-2.8079672503555755,1.4
0,0.2,-3.3379746062888436,1.4
4,0.4,-3.5163951766585972,1.5
2,0.0,-3.1841551325570636,1.6
3,0.6,-3.300897451773923,1.8
1,0.2,-3.1859615854491397,1.6
0,0.4,-3.5934387545197444,1.4
4,0.6,-3.1698761461699028,1.7
3,0.6,-3.1190072384899237,1.6
1,0.6,-3.660265657753386,1.6
2,0.6,-3.5741106767846516,1.5
4,0.2,-3.0991130234804296,1.6
0,0.2,-2.7572785003359357,1.5
1,0.0,-3.122118769189526,1.3
2,0.2,-3.1482620603299636,1.2
3,0.4,-2.949336301335123,1.3
0,-0.2,-3.0933774071703914,1.5
2,0.2,-3.4111454258278577,1.3
1,0.4,-3.634538736986664,1.5
3,0.6,-3.2562379115016293,1.7
4,0.4,-3.648802051829493,1.6
0,0.4,-3.5205514996438287,1.6
1,0.6,-3.2255056062794836,1.5
2,0.4,-3.0135976901083037,1.4
4,-0.2,-3.0184343112111445,1.4
3,0.6,-3.1017220980109608,1.6
1,0.6,-3.5258100913073642,1.6
3,0.2,-3.6672663686232427,1.8
4,0.2,-3.167840703205773,1.5
2,0.6,-3.6909425693880253,1.9
0,0.2,-2.929416412994347,1.6
0,0.0,-3.088926248037473,1.5
4,0.0,-3.18864410792274,1.5
1,0.6,-3.104984475880009,1.7
2,0.6,-3.562719686018828,1.6
3,0.6,-3.4682153533686915,1.5
0,0.2,-3.2189358691866183,1.5
2,0.0,-2.69886046162849,1.4
4,0.2,-2.886209960678843,1.6
1,0.2,-3.3377533389462344,1.3
3,0.6,-3.022217459936146,1.5
0,0.6,-2.8655962282215937,1.5
2,0.0,-3.359884548013271,1.5
1,0.6,-3.1878478759247093,1.7
