pair,feature,t-stat,p-value
"(4, 12)",Content Function Ratio,1.7703770540704786,0.07772961070047817
"(4, 12)",Lexical Frequency,-1.1803175211042858,0.2388546959862326
"(4, 12)",Word Length,0.9448769713189592,0.3455192430989341
"(5, 6)",First Index,0.06199809007338861,0.9505873783234409
"(5, 6)",Content Function Ratio,-0.3200109497393864,0.7490842689189343
"(5, 6)",Lexical Frequency,0.8445272085215909,0.39875024777342205
"(5, 6)",Word Length,-0.3885794079791322,0.6977410283936096
"(5, 8)",First Index,0.1941564326822079,0.846175825059307
"(5, 8)",Content Function Ratio,0.09406368543875611,0.9251170705528292
"(5, 8)",Lexical Frequency,0.18593961306636653,0.8526091954321378
"(5, 8)",Word Length,-1.272717702293082,0.20403641805732675
"(5, 10)",First Index,-0.08314258670066552,0.9337898254241205
"(5, 10)",Content Function Ratio,0.7200943370053754,0.47198928419950814
"(5, 10)",Lexical Frequency,-0.6048572648341896,0.5456998361633081
"(5, 10)",Word Length,-1.3818160996941589,0.16798608170958668
"(5, 12)",First Index,0.09622660254723207,0.9234079952495243
"(5, 12)",Content Function Ratio,2.1822492447524113,0.02990473871091794
"(5, 12)",Lexical Frequency,-1.4724079262756857,0.1420103406307517
"(5, 12)",Word Length,1.148578666651338,0.2516894784916205
"(6, 8)",First Index,0.15677852115133425,0.8754929841638053
"(6, 8)",Content Function Ratio,0.373715327183978,0.708800308225026
"(6, 8)",Lexical Frequency,-0.49848561542492836,0.6183966842911924
"(6, 8)",Word Length,-1.0568013593628782,0.2911956067572687
"(6, 10)",First Index,-0.13709821046984477,0.891017335295841
"(6, 10)",Content Function Ratio,1.0819693728033393,0.2798725221122549
"(6, 10)",Lexical Frequency,-1.4129760647307994,0.15838617594852544
"(6, 10)",Word Length,-1.1814545197973187,0.238075209020278
"(6, 12)",First Index,0.05855357630331558,0.953337373188766
"(6, 12)",Content Function Ratio,2.6776865283012845,0.0077232545808022515
"(6, 12)",Lexical Frequency,-2.2716843947007703,0.023644108378802903
"(6, 12)",Word Length,1.4769265649407042,0.14049414607830202
"(8, 10)",First Index,-0.2397574075679871,0.81074781759916
"(8, 10)",Content Function Ratio,0.6131192957156468,0.5404485238310066
"(8, 10)",Lexical Frequency,-0.8046778496659662,0.42189866627599937
"(8, 10)",Word Length,-0.10796962944856216,0.9141209444508609
"(8, 12)",First Index,-0.06455853838222138,0.9485979421393733
"(8, 12)",Content Function Ratio,2.0906175642656373,0.03798268671535433
"(8, 12)",Lexical Frequency,-1.72805318693118,0.0857129500995128
"(8, 12)",Word Length,1.9876448009618726,0.04838433985468812
"(10, 12)",First Index,0.15041565303766127,0.8806070041250522
"(10, 12)",Content Function Ratio,1.6212812871463471,0.10672736611068132
"(10, 12)",Lexical Frequency,-1.0995674248052618,0.2730055566783919
"(10, 12)",Word Length,2.037374552222319,0.04309304548505286
