First Index,Content Function Ratio,Lexical Frequency,Word Length
2,0.0,-2.7715161291978263,3.0
1,-1.0,-1.7785934625308961,1.5
0,1.0,-3.973535053552943,4.0
4,0.0,-2.9520976112034774,2.5
3,1.0,-4.378844622809759,4.5
1,0.0,-1.9034618680483941,2.0
2,1.0,-5.038472030694848,5.0
0,0.0,-2.618562480739792,2.5
3,1.0,-4.361692507224767,5.5
4,1.0,-3.441909731517618,3.5
0,1.0,-4.722460423342147,5.0
1,1.0,-3.891081507501359,3.5
2,1.0,-4.160534602858603,5.0
4,1.0,-3.149706837637315,9.0
3,0.0,-3.6454006605842233,5.0
1,1.0,-4.014417674172053,3.0
2,0.0,-2.571235430279671,3.5
3,1.0,-3.7139437536927558,7.0
4,1.0,-4.421430427678165,3.5
0,1.0,-3.620581463488572,4.0
4,-1.0,-2.3998592001887955,1.5
2,1.0,-2.897715107600394,7.5
1,-1.0,-1.5714845313791355,2.0
0,1.0,-3.5240121987708846,4.5
3,1.0,-3.291962204963548,7.0
0,1.0,-4.176334095894454,5.0
1,0.0,-2.535645873017312,2.5
3,1.0,-3.487917773780586,5.0
4,1.0,-4.250219087267062,7.0
2,0.0,-3.0002974719481195,3.5
3,0.0,-3.096240235067576,7.0
2,0.0,-3.81192211714707,3.5
1,0.0,-2.8472705182162623,2.5
0,1.0,-3.67135794882435,4.5
4,0.0,-3.400536768192289,5.0
0,0.0,-2.9157262723979427,3.0
2,0.0,-3.6390973955521204,2.0
1,0.0,-2.5066498995284685,2.0
3,1.0,-3.3728017728314548,5.5
4,0.0,-4.192741829416212,3.5
2,1.0,-4.921430427678165,6.0
1,0.0,-2.657164897360459,2.0
3,0.0,-3.1522587832588314,3.0
4,-1.0,-1.797030595989233,1.5
0,1.0,-3.175726232850576,4.5
3,0.0,-4.146316251150618,3.0
4,0.0,-2.6910904829483546,4.5
2,1.0,-3.499450872689377,4.5
1,-1.0,-1.4370055939545026,1.0
0,1.0,-4.052569131014147,6.0
4,0.0,-2.5771715750685775,2.5
1,-1.0,-2.057950913232226,2.5
0,1.0,-3.6829904711972112,4.0
3,0.0,-4.146316251150618,3.5
2,1.0,-3.8666974027021186,3.0
2,0.0,-2.4190564607732163,2.5
0,0.0,-3.4015912029971846,3.5
1,1.0,-3.1831595231644503,4.5
3,0.0,-3.025593873427642,5.0
4,-1.0,-2.5987745694154682,1.5
0,1.0,-4.634414793814305,4.0
4,1.0,-4.496311587844831,4.0
3,0.0,-3.5663717451222574,6.5
1,-1.0,-1.8115136156687175,1.5
2,1.0,-3.4893974881330463,5.5
4,1.0,-4.3644587515247455,7.5
2,1.0,-4.708446061542024,6.5
1,0.0,-1.9549618718998243,2.0
3,1.0,-3.7187999468807735,4.0
0,1.0,-3.420491489201318,3.5
2,1.0,-3.0630949398980967,5.5
3,1.0,-4.287844563476658,8.0
1,0.0,-3.3472705182162623,3.0
4,0.0,-4.465408012855731,3.0
0,1.0,-4.01581054130152,4.5
3,1.0,-5.222460423342146,4.5
1,0.0,-2.7902988420628434,2.0
2,1.0,-3.4602407243806903,3.5
4,0.0,-3.6390973955521204,3.5
0,0.0,-4.040968003473599,5.0
3,0.0,-3.3353723188631923,3.0
2,0.0,-3.2046655147204177,2.5
4,0.0,-3.025593873427642,5.5
1,0.0,-2.4216413438567246,3.0
0,1.0,-3.442307801731666,4.0
3,1.0,-3.6627225028887476,5.5
1,0.0,-2.4510746734671356,2.5
4,1.0,-4.280157132693182,5.5
2,1.0,-4.532354802486343,5.0
0,1.0,-4.5613507759751855,7.0
2,1.0,-4.67692018866848,5.0
0,1.0,-3.8537315739167273,4.0
3,1.0,-4.5094760572060055,7.0
4,1.0,-3.70507937021254,4.0
1,-1.0,-2.5225993403560434,2.0
1,0.0,-3.108709890856431,2.5
3,0.0,-2.7134682211925822,3.0
2,1.0,-4.086927037198877,3.5
4,0.0,-3.6390973955521204,3.0
0,1.0,-3.935059092678924,6.0
3,0.0,-2.6967555203842717,2.5
2,0.0,-2.8126095072915014,4.0
1,0.0,-2.128395236806068,2.5
4,1.0,-3.722460423342146,6.0
0,0.0,-3.254731982986341,3.5
