First Index,Content Function Ratio,Lexical Frequency,Word Length
1,1.0,-4.078142145678779,6.6
0,1.0,-5.210117782830792,8.2
2,1.0,-4.425261925618416,7.0
21,0.2,-3.7609406123046396,4.0
7,1.0,-3.522962766134023,7.0
4,0.6,-3.070661425653919,4.8
0,1.0,-4.114473190005929,5.6
6,0.6,-3.8794808392229863,7.8
11,1.0,-4.765055926485619,5.8
0,0.2,-4.345475615815262,5.8
0,1.0,-4.039817192276683,5.8
0,0.6,-4.384943489347256,9.0
5,0.6,-3.941446700504474,6.2
4,0.6,-4.11367116310364,9.2
0,1.0,-4.514925464992308,7.8
3,0.6,-3.825599157651754,6.2
20,0.2,-3.930160894069343,6.4
1,1.0,-4.435244615684782,7.4
0,0.6,-3.930384188700601,6.6
8,-0.2,-3.026679462149774,3.0
2,1.0,-4.40942567640889,5.2
4,0.6,-3.6028991617415778,5.2
6,1.0,-4.156462111806983,8.2
6,1.0,-3.9909653909352913,6.0
0,0.6,-4.9748995310196555,7.0
0,1.0,-5.210117782830792,5.4
25,0.6,-4.326590234900346,6.2
15,0.6,-4.000748542041627,3.6
0,-0.2,-3.2894918339196115,3.8
2,0.6,-4.733714374315818,5.4
4,1.0,-4.16630571634102,7.8
7,1.0,-4.537621287880556,7.8
1,1.0,-5.210117782830792,5.8
0,0.2,-4.637215566619114,6.4
1,0.6,-4.1721411503014085,6.8
11,0.6,-4.147865365132993,6.4
0,1.0,-4.698857282677334,7.2
8,0.6,-4.430372746512893,8.4
3,1.0,-4.949911783697996,8.4
4,0.6,-3.6025866465917553,5.6
19,0.6,-3.4370987246238647,4.4
1,1.0,-4.716448316748361,6.6
8,1.0,-5.210117782830792,8.6
0,1.0,-3.9065235046218048,6.8
0,0.6,-4.200137792877229,7.6
0,-0.2,-3.5773387163250767,5.6
0,-0.2,-3.3489417946430087,4.8
0,0.6,-4.560229190542275,7.8
1,0.6,-4.3373953868523625,7.8
0,1.0,-4.030405653842849,5.6
0,0.2,-3.6583845676864293,6.2
0,0.6,-4.074443246969828,6.4
9,1.0,-4.8173602173616805,9.0
3,1.0,-4.000026363873646,7.2
10,0.6,-4.379611193143886,5.4
10,0.6,-4.247002233165938,7.4
0,0.6,-4.137881802468071,6.6
0,1.0,-4.159760947379295,5.4
2,1.0,-4.475624320217174,6.8
8,0.6,-3.373197992768918,7.4
1,0.2,-3.492757578036392,5.6
0,0.6,-3.974207424597754,5.4
4,1.0,-4.102352785043211,6.8
0,1.0,-4.870323781963588,9.4
5,0.2,-3.487837059312546,6.8
4,0.6,-4.069368567985359,5.0
3,0.6,-3.9775272769616463,6.6
3,0.2,-4.078779343980914,8.0
8,0.6,-4.93407553448847,10.2
1,0.6,-3.7801291929768737,6.0
0,0.6,-4.317375010522417,6.4
10,1.0,-4.625261925618416,6.4
0,0.6,-4.026645253478803,5.8
0,1.0,-5.210117782830792,7.4
7,0.2,-3.615461465807839,7.0
0,0.6,-4.192213060393353,6.4
0,0.2,-4.442499155141673,6.2
5,1.0,-4.35195065351063,8.4
0,0.6,-4.389220360568313,6.0
0,1.0,-4.057842135627073,5.0
4,0.2,-3.952271452897103,3.4
0,1.0,-4.810117782830792,8.8
1,0.2,-3.7193219574505023,4.8
0,1.0,-3.872940785354532,5.2
25,0.6,-4.0011747180078565,7.0
14,1.0,-4.259861962034123,6.8
0,1.0,-4.570166747380097,7.2
4,0.6,-3.936833639690735,6.2
1,1.0,-4.19160172269253,7.6
13,1.0,-4.611783981354803,9.4
8,0.2,-3.061843354285596,4.8
8,1.0,-4.266917114103832,7.4
7,0.6,-3.6861743466988686,5.8
0,0.6,-3.7210120737533914,6.2
2,0.6,-3.9512832864213694,6.4
12,0.2,-3.148860541860947,5.4
3,0.6,-3.4720815200777713,4.4
