First Index,Content Function Ratio,Lexical Frequency,Word Length
2,1.0,-3.4727233621890097,1.5
0,-0.5,-3.15701220623105,1.25
5,1.0,-4.745405117471638,2.0
1,0.0,-3.6576494043256065,1.0
2,0.0,-2.9189174179819988,1.5
3,0.5,-3.169290429573355,1.5
0,0.0,-2.8563865637197856,1.5
0,-0.5,-2.576641929065096,1.25
16,0.5,-3.912658019091544,2.0
0,1.0,-3.927609346074477,1.75
5,1.0,-3.048120296424438,1.25
0,0.5,-3.6273806353792986,1.5
0,0.0,-2.8166121762404157,1.5
11,0.5,-4.359388106384068,1.75
0,1.0,-4.141661780478933,2.0
1,1.0,-3.0357759590142317,1.75
0,0.5,-3.5753269059475326,2.0
5,0.5,-3.718592022684731,2.0
15,0.5,-4.391661780478932,1.75
12,0.5,-3.2329920924342623,1.5
0,0.0,-3.0157190384457624,1.5
5,0.5,-3.713777565588667,1.5
1,0.0,-3.2145905564227424,1.75
4,0.0,-2.6889914378133875,1.5
1,1.0,-3.5984247854575977,2.0
8,0.5,-2.867794469866749,1.25
1,0.0,-3.439544112519233,1.5
12,0.0,-2.7476675957373353,1.0
4,0.5,-2.9610247034860016,1.25
0,1.0,-4.187156089873599,1.75
12,0.0,-3.121966475820139,1.0
1,1.0,-3.803801905693537,2.0
28,0.5,-3.6993174489598974,1.5
16,0.0,-2.756909827657389,1.5
14,0.5,-3.4516722190895264,1.75
9,0.5,-3.7356640203954803,1.75
5,1.0,-2.9369924004966452,1.25
5,0.5,-3.9216050044708224,1.75
0,0.0,-2.4494907732352296,1.5
6,1.0,-2.946763288908291,1.25
7,0.0,-4.079519146157368,1.75
4,0.5,-2.7764039638847025,1.5
0,-0.5,-2.8042275829331333,1.0
0,1.0,-3.819408622424133,2.0
6,1.0,-3.6411244202521322,2.0
2,0.5,-2.405064436431169,1.25
3,0.5,-3.842341640947528,2.0
0,0.0,-3.3452479157488786,1.75
0,0.0,-3.0565672469069503,1.5
33,0.5,-2.8622123199550313,1.0
1,0.0,-2.9534039746312892,1.5
1,0.5,-2.987805792257447,1.75
8,1.0,-4.109388106384069,2.0
0,1.0,-3.5671971119351165,1.5
4,1.0,-3.490740393075258,1.5
10,0.5,-3.503109402663572,1.75
3,0.0,-2.5049409855580262,1.25
1,0.0,-3.179768615693405,1.5
1,0.0,-3.099894506593793,1.25
2,1.0,-3.4941569372009704,1.75
1,0.5,-3.1823715490731423,1.25
2,0.5,-2.778070481712938,1.5
0,0.5,-2.4680322318569505,1.5
2,0.5,-3.7507458803755185,1.5
1,0.5,-3.3169701275268304,1.5
0,0.5,-3.4680104807455403,1.5
0,0.5,-3.0947707542960323,1.5
0,0.0,-3.3141691162186655,1.25
0,1.0,-3.5041811794465545,1.5
34,0.5,-3.082925437787783,1.0
1,1.0,-3.489082748350504,1.5
13,0.5,-4.149003549072059,1.75
12,0.0,-2.903391069500911,1.5
0,0.5,-2.767020262798707,1.25
3,1.0,-3.692491517333342,1.75
5,0.5,-3.392844130809693,1.5
0,0.5,-2.907507968547857,1.25
0,0.5,-3.642972544332025,1.75
0,0.0,-3.796252862500923,1.25
7,1.0,-2.980544179291928,1.5
0,0.5,-3.6023518471584817,2.0
0,1.0,-3.1948511735213536,1.25
6,1.0,-3.059142668597419,1.5
4,0.0,-2.86490603078432,1.25
0,0.5,-3.293751604605836,1.75
1,0.5,-3.089823215279594,1.5
11,1.0,-3.7770604333693516,1.75
12,0.5,-3.6528231155267594,1.75
4,1.0,-3.6770462800858734,2.0
7,1.0,-4.048304097346784,2.0
0,0.5,-3.0504595632125797,1.5
30,0.5,-3.333032459600761,1.5
5,1.0,-3.682690378821813,2.0
26,1.0,-3.056292724332187,1.25
0,0.5,-3.144210367744726,1.5
2,0.0,-2.625556292348534,1.5
